,module_name,pos_cnt,neg_cnt,diff,diff_ratio,mean,abs_mean,std,abs_std
0,h.3.mlp.c_proj.weight,1179674,1179622,52,2.2040473090277777e-05,0.00017645646585151553,0.06875844299793243,0.09180602431297302,0.060832999646663666
0,h.3.mlp.c_proj.bias,377,391,14,0.018229166666666668,0.00210202531889081,0.07540171593427658,0.11504391580820084,0.08691433817148209
0,h.4.ln_1.weight,768,0,768,1.0,0.31934547424316406,0.31934547424316406,0.04736029729247093,0.04736029729247093
0,h.4.ln_1.bias,621,147,474,0.6171875,0.007916287519037724,0.016628185287117958,0.06744878739118576,0.0658445879817009
0,h.4.attn.c_attn.weight,885930,883542,2388,0.0013495551215277778,0.00015205985982902348,0.11040087044239044,0.14643776416778564,0.09620644152164459
0,h.4.attn.c_attn.bias,1163,1141,22,0.009548611111111112,0.005201354157179594,0.10797517746686935,0.2394864857196808,0.2138274908065796
0,h.4.attn.c_proj.weight,294593,295231,638,0.0010816786024305555,-1.139602954935981e-05,0.07071731239557266,0.0929790660738945,0.06036694347858429
0,h.4.attn.c_proj.bias,391,377,14,0.018229166666666668,-0.0009013282251544297,0.0769706442952156,0.10043347626924515,0.06452299654483795
0,h.4.ln_2.weight,768,0,768,1.0,0.2725818455219269,0.2725818455219269,0.04386839643120766,0.04386839643120766
0,h.4.ln_2.bias,403,365,38,0.049479166666666664,0.0009596582385711372,0.019176345318555832,0.02686648815870285,0.01884136162698269
0,h.4.mlp.c_fc.weight,1157186,1202110,44924,0.019041273328993056,-0.003263666294515133,0.10167698562145233,0.12971316277980804,0.08060984313488007
0,h.4.mlp.c_fc.bias,487,2585,2098,0.6829427083333334,-0.08612614870071411,0.09974164515733719,0.09318683296442032,0.07844170928001404
0,h.4.mlp.c_proj.weight,1179597,1179699,102,4.3233235677083336e-05,0.0001799796154955402,0.0693950355052948,0.09099912643432617,0.05886594578623772
0,h.4.mlp.c_proj.bias,386,382,4,0.005208333333333333,0.001605939120054245,0.09975993633270264,0.13677062094211578,0.09357745200395584
0,h.5.ln_1.weight,768,0,768,1.0,0.3731194734573364,0.3731194734573364,0.04499749466776848,0.04499749466776848
0,h.5.ln_1.bias,663,105,558,0.7265625,0.011876348406076431,0.018057439476251602,0.04903411492705345,0.04710967093706131
0,h.5.attn.c_attn.weight,884182,885290,1108,0.0006261754918981482,-0.00010847148223547265,0.09946709126234055,0.12801267206668854,0.08058257400989532
0,h.5.attn.c_attn.bias,1147,1157,10,0.004340277777777778,0.001045502140186727,0.06178924813866615,0.09921526908874512,0.07763279229402542
0,h.5.attn.c_proj.weight,294832,294992,160,0.0002712673611111111,1.0988787835231051e-05,0.07261313498020172,0.09377479553222656,0.059338364750146866
0,h.5.attn.c_proj.bias,377,391,14,0.018229166666666668,-0.001168476534076035,0.08431264013051987,0.11073216050863266,0.07179383188486099
0,h.5.ln_2.weight,768,0,768,1.0,0.27900204062461853,0.27900204062461853,0.05144340544939041,0.05144340544939041
0,h.5.ln_2.bias,489,279,210,0.2734375,0.008151969872415066,0.022062724456191063,0.03277861699461937,0.02557593770325184
0,h.5.mlp.c_fc.weight,1150467,1208829,58362,0.024737040201822918,-0.004193876404315233,0.09962155669927597,0.1267070472240448,0.0784079059958458
0,h.5.mlp.c_fc.bias,465,2607,2142,0.697265625,-0.08502542972564697,0.09557496756315231,0.08899355679750443,0.07755386829376221
0,h.5.mlp.c_proj.weight,1179948,1179348,600,0.0002543131510416667,0.00011598867422435433,0.07507039606571198,0.09735690802335739,0.06199045479297638
0,h.5.mlp.c_proj.bias,380,388,8,0.010416666666666666,0.0009532842668704689,0.07513215392827988,0.10638397186994553,0.0753234326839447
0,h.6.ln_1.weight,768,0,768,1.0,0.3455983102321625,0.3455983102321625,0.044142283499240875,0.044142283499240875
0,h.6.ln_1.bias,674,94,580,0.7552083333333334,0.011822459287941456,0.01933719404041767,0.0661633089184761,0.06436946243047714
0,h.6.attn.c_attn.weight,885956,883516,2440,0.0013789424189814814,0.00011163032468175516,0.09937246888875961,0.1268601268529892,0.07885824888944626
0,h.6.attn.c_attn.bias,1161,1143,18,0.0078125,0.0018212752183899283,0.07526446878910065,0.1229604035615921,0.09725142270326614
0,h.6.attn.c_proj.weight,295070,294754,316,0.0005357530381944445,3.6974295653635636e-05,0.08774352818727493,0.1136898323893547,0.0722941905260086
0,h.6.attn.c_proj.bias,370,398,28,0.036458333333333336,-0.00043638734496198595,0.08368096500635147,0.10598471760749817,0.06504189223051071
0,h.6.ln_2.weight,768,0,768,1.0,0.2594689428806305,0.2594689428806305,0.0473693385720253,0.0473693385720253
0,h.6.ln_2.bias,448,320,128,0.16666666666666666,0.004331210162490606,0.021156026050448418,0.03379976749420166,0.026713408529758453
0,h.6.mlp.c_fc.weight,1161083,1198213,37130,0.015737745496961806,-0.002819152781739831,0.09953088313341141,0.12635646760463715,0.0778941884636879
0,h.6.mlp.c_fc.bias,465,2607,2142,0.697265625,-0.08570227026939392,0.0973070040345192,0.09054652601480484,0.0779416412115097
0,h.6.mlp.c_proj.weight,1178888,1180408,1520,0.0006442599826388889,9.547969239065424e-05,0.08288693428039551,0.1073317751288414,0.06819005310535431
0,h.6.mlp.c_proj.bias,385,383,2,0.0026041666666666665,0.0015628753462806344,0.08774427324533463,0.12097740918397903,0.08330017328262329
0,h.7.ln_1.weight,768,0,768,1.0,0.3565715253353119,0.3565715253353119,0.043757446110248566,0.043757446110248566
0,h.7.ln_1.bias,699,69,630,0.8203125,0.01434354204684496,0.020945141091942787,0.05910835042595863,0.057103730738162994
